brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
43738.0,for_sale,696000.0,4.0,4.0,0.06,1013531.0,Millsboro,Delaware,19966.0,2961.0,
16829.0,for_sale,3000000.0,3.0,2.0,0.08,807497.0,La Jolla,California,92037.0,1238.0,2005-05-19
16829.0,sold,799900.0,3.0,3.0,0.04,1204283.0,Washington,District of Columbia,20001.0,1625.0,2022-01-05
71502.0,for_sale,189900.0,3.0,2.0,5.0,161255.0,Bad Axe,Michigan,48413.0,1344.0,
30768.0,sold,255000.0,3.0,2.0,0.16,1002129.0,Abilene,Texas,79602.0,1630.0,2022-03-24
53476.0,sold,99000.0,4.0,2.0,,815098.0,Milwaukee,Wisconsin,53210.0,,2022-03-02
90755.0,for_sale,1100000.0,1.0,1.0,,1113384.0,Honolulu,Hawaii,96815.0,737.0,2016-02-03
34984.0,sold,249950.0,3.0,2.0,0.56,1823232.0,Richmond,Virginia,23236.0,1165.0,2022-01-26
53554.0,for_sale,475000.0,3.0,2.0,0.24,169398.0,Knoxville,Tennessee,37934.0,2204.0,2008-03-31
39375.0,for_sale,229000.0,3.0,3.0,0.5,1185091.0,Cedar Bluff,Virginia,24609.0,2166.0,
83581.0,for_sale,1695000.0,4.0,4.0,5.0,247367.0,Berthoud,Colorado,80513.0,7296.0,2004-07-29
59121.0,for_sale,496610.0,4.0,3.0,,756426.0,Katy,Texas,77493.0,2427.0,
53688.0,sold,635500.0,3.0,1.0,0.16,1755621.0,Portland,Oregon,97203.0,1639.0,2022-03-15
103169.0,sold,18000.0,,,0.17,609432.0,Mayer,Arizona,86333.0,,2022-02-02
68027.0,sold,400000.0,3.0,2.0,0.13,799186.0,Panama City Beach,Florida,32408.0,1667.0,2022-03-31
82333.0,for_sale,699000.0,3.0,2.0,6.0,627245.0,Cora,Wyoming,82925.0,2560.0,
79100.0,sold,129900.0,3.0,3.0,1.07,510806.0,Manchester,Pennsylvania,17345.0,1845.0,2021-11-30
8048.0,sold,299999.0,3.0,2.0,0.3,856001.0,Coventry,Rhode Island,2816.0,912.0,2022-03-29
57608.0,sold,445420.0,4.0,3.0,,688749.0,Land O Lakes,Florida,34637.0,2084.0,2022-02-25
78876.0,sold,799000.0,2.0,2.0,,826385.0,Seattle,Washington,98102.0,1541.0,2022-03-16
75396.0,for_sale,740000.0,,,0.11,211793.0,Missoula,Montana,59801.0,2448.0,
61945.0,for_sale,135000.0,,,0.43,1191399.0,Buford,Georgia,30518.0,,2022-04-15
61108.0,sold,548800.0,2.0,3.0,,345889.0,Middle River,Maryland,21220.0,1762.0,2022-02-04
79221.0,sold,539900.0,4.0,2.0,0.24,1149221.0,Minneapolis,Minnesota,55419.0,2740.0,2022-04-08
79169.0,sold,264900.0,3.0,3.0,0.2,854008.0,Des Moines,Iowa,50320.0,1680.0,2022-02-10
22611.0,sold,215000.0,3.0,,0.03,771738.0,Baltimore,Maryland,21216.0,1476.0,2022-04-08
29145.0,for_sale,390025.0,4.0,2.0,0.14,1694575.0,Little River,South Carolina,29566.0,1962.0,
51729.0,sold,180000.0,3.0,2.0,0.29,922029.0,Covington,Virginia,24426.0,1228.0,2022-02-08
33968.0,sold,155000.0,2.0,3.0,9.7,154444.0,Dallas,Texas,75243.0,1054.0,2022-02-25
53656.0,for_sale,469000.0,4.0,3.0,0.2,1105761.0,Salem,South Carolina,29676.0,2618.0,
78427.0,sold,325000.0,4.0,3.0,0.3,1661740.0,Richmond,Virginia,23294.0,2624.0,2022-03-08
30156.0,for_sale,400000.0,3.0,3.0,0.44,1773113.0,Cary,North Carolina,27513.0,1465.0,2014-09-11
74003.0,sold,325000.0,3.0,3.0,0.15,1695769.0,Ankeny,Iowa,50021.0,1551.0,2022-03-14
78442.0,for_sale,449000.0,2.0,2.0,0.03,1328249.0,Palm Springs,California,92264.0,1175.0,2007-11-09
